x,y,z,position
-4.5,-0.12,-85.5,4
-3.86,0.31,-86.13,4
-3.69,-0.93,-86.2,4
-3.24,-0.33,-86.75,4
-2.03,-1.07,-87.71,4
0.06,-1.08,-88.92,4
3.19,-2.7,-85.83,4
-1.58,-0.12,-88.42,4
0.07,-1.22,-88.78,4
0.62,-1.24,-88.61,4
1.38,-1.64,-87.86,4
1.55,-2.45,-87.1,4
-0.95,-3.19,-86.66,4
-0.82,-4.76,-85.15,4
-1.02,-4.93,-84.95,4
-4.49,-2.62,-84.8,4
-2.5,-3.95,-85.32,4
0.24,-2.72,-87.26,4
-11.36,-1.72,-78.51,4
-4.47,-4.19,-83.87,4
-2.25,-0.0,-87.75,4
-4.12,-0.23,-85.88,4
2.22,-6.9,-82.7,4
-5.79,-9.29,-78.96,4
-2.53,-6.36,-83.12,4
-2.53,-0.49,-87.43,4
-5.18,1.66,-84.56,4
-1.25,-1.91,-87.72,4
-2.86,-1.25,-86.88,4
0.08,-2.47,-87.53,4
1.61,-1.48,-87.81,4
2.47,-2.06,-86.79,4
3.52,-3.32,-85.16,4
2.29,-0.33,-87.69,4
2.53,-2.15,-86.68,4
2.02,-0.44,-87.94,4
2.3,-1.18,-87.41,4
0.81,-0.03,-89.19,4
-0.54,0.38,-89.34,4
0.63,-2.8,-87.12,4
0.37,0.23,-89.56,4
-3.97,-1.29,-85.83,4
-2.43,2.9,-86.22,4
-1.58,0.48,-88.35,4
-0.06,0.03,-89.94,4
-4.1,-5.18,-83.38,4
-3.61,-1.21,-86.19,4
-3.51,-0.62,-86.43,4
-5.02,-2.99,-84.16,4
-4.48,-1.26,-85.35,4
-5.02,-3.54,-83.86,4
-6.08,-0.45,-83.9,4
-5.37,0.68,-84.59,4
-5.59,-0.9700001,-84.33,4
-4.05,0.33,-85.94,4
-6.08,-2.33,-83.49,4
-7.93,1.79,-81.87,4
-6.01,2.3,-83.57,4
-4.65,1.05,-85.23,4
-1.8,0.85,-88.01,4
-3.02,-1.88,-86.45,4
-2.22,-1.14,-87.51,4
-2.04,2.9,-86.45,4
-4.02,-2.41,-85.31,4
-1.6,-3.1,-86.51,4
-1.76,-1.54,-87.66,4
-1.85,-1.75,-87.45,4
-2.07,-1.57,-87.4,4
-1.72,-1.3,-87.84,4
-2.2,-0.84,-87.65,4
-1.46,-1.36,-88.01,4
-1.57,-1.6,-87.75,4
-0.92,-1.37,-88.35,4
-0.53,-0.84,-89.01,4
-1.74,-1.25,-87.85,4
-0.28,-1.36,-88.61,4
-0.91,-1.37,-88.35,4
-1.78,-1.56,-87.63,4
-0.47,-2.01,-87.93,4
-0.52,-0.9,-88.96,4
-0.57,-1.31,-88.57,4
-0.74,-1.37,-88.44,4
-0.78,-0.85,-88.84,4
-0.95,-0.53,-88.91,4
0.43,-0.98,-88.93,4
-0.51,-0.62,-89.2,4
-0.1,-0.48,-89.51,4
-0.56,0.36,-89.34,4
0.0,0.04,-89.96,4
-1.23,-4.6,-85.23,4
-1.15,-8.04,-81.8,4
-0.28,-11.46,-78.3,4
-1.1,-17.18,-71.96,4
-0.32,-15.86,-73.49,4
-1.29,-16.63,-72.58,4
-2.02,-15.85,-73.38,4
-2.34,-15.26,-74.01,4
-1.24,-17.16,-71.97,4
-1.53,-15.98,-73.29,4
-1.93,-16.63,-72.52,4
-2.3,-18.33,-70.53,4
-1.53,-15.59,-73.73,4
-1.86,-15.22,-74.11,4
-1.56,-16.17,-73.07,4
-0.65,-15.51,-73.88,4
-0.83,-16.2,-73.09,4
-0.61,-16.53,-72.73,4
-0.99,-16.3,-72.97,4
-1.27,-17.01,-72.14,4
-1.43,-16.43,-72.79,4
-1.66,-16.27,-72.95,4
-1.38,-16.35,-72.88,4
-0.52,-16.52,-72.74,4
-1.75,-15.76,-73.52,4
-1.25,-15.5,-73.85,4
-1.05,-15.41,-73.96,4
-0.45,-15.08,-74.36,4
-0.95,-15.32,-74.08,4
-1.04,-14.77,-74.68,4
-1.32,-14.78,-74.65,4
-0.88,-15.1,-74.33,4
-0.65,-14.49,-75.01,4
-0.47,-14.71,-74.77,4
-1.03,-14.04,-75.48,4
0.26,-15.04,-74.41,4
-1.05,-14.37,-75.12,4
-0.68,-14.68,-74.8,4
0.14,-14.76,-74.73,4
-0.24,-15.35,-74.06,4
0.08,-15.06,-74.39,4
0.44,-15.33,-74.09,4
0.27,-15.53,-73.86,4
0.11,-14.99,-74.47,4
-0.56,-15.82,-73.54,4
-0.1,-15.34,-74.07,4
-0.56,-14.93,-74.52,4
0.52,-15.81,-73.54,4
0.04,-15.79,-73.58,4
0.11,-15.22,-74.21,4
0.38,-14.8,-74.68,4
0.37,-15.22,-74.21,4
0.34,-14.8,-74.68,4
0.11,-14.58,-74.92,4
0.85,-15.19,-74.23,4
1.24,-15.77,-73.56,4
0.62,-15.88,-73.46,4
0.35,-15.51,-73.89,4
1.06,-13.72,-75.83,4
0.07,-10.77,-79.04,4
1.26,-7.54,-82.29,4
0.58,-1.83,-88.08,4
-0.73,-0.35,-89.19,4
-1.01,1.0,-88.58,4
-4.05,-1.14,-85.8,4
-2.16,0.28,-87.82,4
-2.4,-0.88,-87.45,4
-2.28,-1.86,-87.06,4
-1.55,-0.89,-88.21,4
-1.41,5.85,-83.95,4
-2.35,8.0,-81.59,4
-2.53,9.5,-80.05,4
-2.07,11.91,-77.65,4
0.09,12.78,-76.89,4
-1.91,12.6,-76.95,4
-0.72,13.21,-76.41,4
-1.76,12.94,-76.6,4
-1.29,13.15,-76.42,4
-1.63,12.05,-77.57,4
-0.45,12.31,-77.38,4
-1.18,11.94,-77.73,4
-1.27,12.06,-77.6,4
-0.85,11.14,-78.61,4
-0.67,11.72,-78.01,4
-0.67,12.02,-77.69,4
-0.66,12.45,-77.23,4
-0.1,13.1,-76.55,4
-1.08,12.75,-76.88,4
-0.45,12.68,-76.99,4
-0.91,12.7,-76.95,4
-0.06,12.33,-77.38,4
-1.02,12.13,-77.55,4
-0.54,12.1,-77.61,4
-0.52,11.47,-78.28,4
0.38,11.23,-78.55,4
0.75,11.95,-77.76,4
0.38,12.05,-77.67,4
-0.06,11.87,-77.86,4
0.38,11.81,-77.92,4
0.51,12.26,-77.44,4
0.34,12.06,-77.66,4
-0.15,11.93,-77.81,4
0.37,12.07,-77.65,4
-0.35,11.75,-77.99,4
0.22,11.85,-77.89,4
0.38,12.04,-77.68,4
-0.03,12.15,-77.56,4
-0.26,11.97,-77.76,4
0.25,12.31,-77.39,4
0.82,12.54,-77.12,4
0.73,12.74,-76.92,4
0.41,12.82,-76.84,4
0.78,12.29,-77.39,4
0.63,12.82,-76.83,4
0.49,13.1,-76.53,4
0.35,12.72,-76.95,4
0.36,12.92,-76.73,4
0.0,13.32,-76.31,4
0.76,14.22,-75.3,4
0.35,13.64,-75.95,4
0.47,13.81,-75.77,4
0.62,13.34,-76.26,4
0.62,14.01,-75.54,4
0.24,14.03,-75.53,4
0.53,12.92,-76.73,4
-0.01,13.98,-75.58,4
-0.03,13.48,-76.14,4
-0.28,13.69,-75.9,4
0.44,13.6,-75.99,4
1.0,13.2,-76.39,4
1.38,13.51,-76.03,4
0.49,12.26,-77.44,4
0.78,12.32,-77.36,4
0.57,12.97,-76.67,4
0.83,12.56,-77.1,4
0.91,12.06,-77.63,4
0.6,12.38,-77.3,4
0.68,12.01,-77.7,4
0.65,11.64,-78.1,4
1.18,10.47,-79.28,4
0.22,11.14,-78.64,4
1.4,10.88,-78.83,4
0.74,10.55,-79.24,4
0.79,10.45,-79.34,4
0.57,10.11,-79.71,4
0.58,10.83,-78.96,4
0.93,10.38,-79.4,4
0.53,10.3,-79.52,4
1.64,10.44,-79.26,4
1.16,11.28,-78.44,4
0.16,11.11,-78.67,4
0.91,11.18,-78.57,4
0.73,11.16,-78.6,4
1.14,11.07,-78.67,4
0.89,10.54,-79.24,4
